UMAP1,UMAP2,Hour,Arrest,Time_Period
12.115278,11.602107,20,False,Night (6PM-6AM)
14.417062,6.2097526,22,False,Night (6PM-6AM)
14.707921,2.147919,14,False,Day (6AM-6PM)
9.6151705,1.9315602,0,False,Night (6PM-6AM)
11.388065,11.910542,23,True,Night (6PM-6AM)
7.3715715,8.776908,10,False,Day (6AM-6PM)
12.014653,11.600305,15,False,Day (6AM-6PM)
-2.7826085,5.967077,0,False,Night (6PM-6AM)
7.9781375,1.5159148,10,False,Day (6AM-6PM)
14.520275,6.1825333,12,False,Day (6AM-6PM)
11.151316,11.458956,13,True,Day (6AM-6PM)
9.768804,5.4538417,2,False,Night (6PM-6AM)
15.609148,4.053363,13,False,Day (6AM-6PM)
11.166895,4.957479,9,False,Day (6AM-6PM)
12.23736,0.9377211,22,False,Night (6PM-6AM)
8.814532,8.508538,11,True,Day (6AM-6PM)
8.106733,5.131793,7,False,Day (6AM-6PM)
12.536985,-0.920271,18,False,Night (6PM-6AM)
10.363449,5.8181505,9,False,Day (6AM-6PM)
9.742269,5.067991,10,False,Day (6AM-6PM)
-4.0602202,5.7755313,19,False,Night (6PM-6AM)
10.288177,5.137229,7,False,Day (6AM-6PM)
9.48486,3.640972,0,True,Night (6PM-6AM)
8.753031,6.2154036,7,False,Day (6AM-6PM)
8.886652,2.9881232,3,False,Night (6PM-6AM)
10.987139,0.9741955,21,False,Night (6PM-6AM)
-4.1036777,5.19909,23,False,Night (6PM-6AM)
9.185733,1.8398482,0,True,Night (6PM-6AM)
8.321252,2.5007064,2,False,Night (6PM-6AM)
11.289292,5.22924,11,False,Day (6AM-6PM)
-2.2913663,5.8109736,1,True,Night (6PM-6AM)
7.7700095,7.254329,4,False,Night (6PM-6AM)
15.568679,4.2293963,18,False,Night (6PM-6AM)
-4.2103434,4.8340344,23,False,Night (6PM-6AM)
8.16708,9.270755,6,True,Day (6AM-6PM)
12.224449,3.7296617,13,False,Day (6AM-6PM)
10.581253,11.724555,20,False,Night (6PM-6AM)
-4.234851,4.443746,19,False,Night (6PM-6AM)
