KMeans_Geo,DBSCAN_Geo,LatNorm,LonNorm
3,-1,0.5383059799610805,0.7597181099622503
0,2677,0.6718226896847739,0.6858028980844892
3,2428,0.4415471174117016,0.6681436508594629
7,-1,0.8186689251936343,0.1297639563304642
0,-1,0.6636474014523799,0.6827883455621873
0,-1,0.7194621181677263,0.5250082490840668
4,1807,0.4240318758432266,0.9024115358949985
6,-1,0.932132462719636,0.4676025272179345
2,-1,0.6122086089157932,0.3923412134241175
7,-1,0.6915804042059364,0.2638263424992146
3,222,0.3985459486686267,0.7614835597335059
7,-1,0.9181794411727396,0.2044673096833094
2,3041,0.7009152156618796,0.3550723283750585
0,-1,0.7213363973998526,0.6720050136303826
3,1066,0.5687141880399054,0.6587949364846963
2,2372,0.6837255701647393,0.286073536383185
4,660,0.3576396247974571,0.8651307013763017
6,1076,0.9967635298944232,0.5342606644211401
0,-1,0.7029238099906081,0.5952129850802521
6,-1,0.8595814981934922,0.6089186829558457
3,-1,0.4843650874442318,0.7532157945680069
6,-1,0.8834575878528028,0.5465867457293712
5,-1,0.4674434914306431,0.2095713226808584
7,-1,0.821836776226192,0.1906704218067716
8,370,0.4513476883012401,0.5488413353227202
0,136,0.7025515578033321,0.5622456504817706
7,-1,0.6913104544152162,0.2349171095901283
8,-1,0.3784016765692684,0.5654811467732657
3,2575,0.5836652088688794,0.7295740070696866
7,-1,0.7524340356149111,0.2467096466077123
7,-1,0.7187314901523791,0.2235822003596581
2,-1,0.7309468725689499,0.4490028545277482
6,1300,0.9693108346500026,0.5668719590695446
4,-1,0.4183110542362129,0.8298302714715078
5,-1,0.4739046116012559,0.4330911565226074
3,1448,0.5208921198877334,0.6957089831535086
4,1,0.419432631987803,0.8721176467636838
6,-1,0.8904279578389236,0.4246641502463717
0,500,0.7270470240864881,0.6785253872623684
1,-1,0.2610158270667426,0.6800682627879269
2,-1,0.7229461829113006,0.483950719889151
8,-1,0.4437172183472739,0.4761977091120002
2,-1,0.8142695797833568,0.3843317510714996
2,-1,0.6184761231064329,0.4945063054637444
0,710,0.6660284234813361,0.6382487049730798
0,1181,0.6945797172785007,0.6744375112414218
0,154,0.7149806218506995,0.6858721160730852
5,-1,0.4772399128467413,0.3803997353664385
8,-1,0.4318747121641308,0.530446594932414
0,369,0.6659768833376347,0.6859404289421605
1,2471,0.2919609705078585,0.7751600288721647
3,526,0.6037847899761744,0.7067450862620035
6,-1,0.9388067899859748,0.5386080826694979
2,-1,0.6078310054462293,0.3502322822831161
8,-1,0.3931816567532138,0.6159853734708349
7,-1,0.7607631317183206,0.3055152161965111
3,-1,0.5614810014570963,0.6721013473591597
8,162,0.4124631157314695,0.5669104408399335
7,-1,0.8164712795550315,0.0893417642556073
5,-1,0.4362042965836252,0.4204059887645144
7,-1,0.8227235067821823,0.3554123221647387
6,-1,0.8043874581981072,0.5443708965120777
1,-1,0.251445869393109,0.6791422656214081
2,-1,0.7876932598293536,0.4155290850713413
2,1220,0.6609156893302384,0.3694483665807979
5,1212,0.408275770494356,0.3813293813945506
4,1115,0.4119872372164366,0.8799746989770938
1,-1,0.2215355374556082,0.681805310098639
2,-1,0.6450159146932322,0.3627110102601136
0,-1,0.7152236184821135,0.5502185487504789
2,-1,0.7455807761201072,0.3377395832978891
2,-1,0.7513323645017067,0.4169720536960426
1,-1,0.361480589759978,0.6059621432319773
4,827,0.4391830638038811,0.8677094562061711
6,-1,0.8554608825563861,0.3757586515701518
6,572,0.7986423529624744,0.4962098601993148
0,341,0.7295068926112265,0.6859901884384385
3,-1,0.5745717125867031,0.6629609019267946
3,1554,0.5798328592099438,0.7164585890240573
