TSNE1,TSNE2,Hour,Arrest,Time_Period
-61.357426,14.250863,7,True,Day (6AM-6PM)
37.456444,37.324646,0,False,Night (6PM-6AM)
41.039204,51.42315,0,False,Night (6PM-6AM)
31.568666,75.11076,22,False,Night (6PM-6AM)
41.37865,60.162716,21,False,Night (6PM-6AM)
-22.152348,63.50339,22,False,Night (6PM-6AM)
10.1604,65.732544,15,False,Day (6AM-6PM)
-5.226265,80.33238,22,False,Night (6PM-6AM)
-5.2521358,6.336114,5,False,Night (6PM-6AM)
26.112679,35.611317,1,False,Night (6PM-6AM)
-9.476913,23.402725,0,False,Night (6PM-6AM)
-47.434288,10.189502,1,True,Night (6PM-6AM)
-7.6903973,18.331678,2,True,Night (6PM-6AM)
-32.158363,-47.997326,16,False,Day (6AM-6PM)
6.3387675,48.430836,2,False,Night (6PM-6AM)
